id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
MED_031 Medny_Island NA 172/176 91/99 140/160 177/191 230/242 160/160 NA
MED_032 Medny_Island 394/394 162/180 99/99 156/164 177/191 228/230 160/160 394/394
MED_034 Medny_Island 382/394 166/168 91/103 160/164 NA 234/236 160/160 382/394
MED_037 Medny_Island NA NA 87/99 158/164 187/193 234/240 160/160 NA
MED_039 Medny_Island NA 168/178 91/103 134/140 185/197 234/236 160/184 NA
MED_041 Medny_Island 380/392 162/170 113/115 142/160 177/185 230/238 160/160 380/392
MED_042 Medny_Island 392/394 166/168 99/99 134/156 185/189 234/240 160/160 392/394
MED_043 Medny_Island NA NA NA 158/158 NA NA 160/160 NA
MED_044 Medny_Island 394/394 162/172 85/89 158/160 193/197 234/238 160/160 394/394
MED_045 Medny_Island NA 162/172 103/117 142/142 183/195 228/228 160/178 NA
MED_046 Medny_Island 380/386 164/178 85/99 150/160 179/201 228/238 160/178 380/386
MED_047 Medny_Island 386/394 168/172 105/107 142/160 183/193 230/238 160/160 386/394
MED_048 Medny_Island 380/392 172/176 115/117 162/166 187/195 234/236 160/160 380/392
MED_049 Medny_Island 386/394 158/172 99/103 156/164 NA 230/230 160/160 386/394
MED_050 Medny_Island 394/396 168/172 87/95 142/160 NA 230/232 NA 394/396
MED_051 Medny_Island 380/388 170/172 91/93 160/172 191/205 238/242 160/160 380/388
MED_053 Medny_Island 380/386 168/176 115/115 158/162 185/191 234/234 160/160 380/386
MED_054 Medny_Island 378/386 162/174 91/97 NA NA NA NA 378/386
MED_055 Medny_Island NA NA 99/115 142/160 185/185 236/250 160/178 NA
ROB_001 Robben_Island 380/394 174/182 95/117 156/162 193/197 240/240 160/160 380/394
ROB_002 Robben_Island 394/396 172/182 99/113 158/160 187/189 232/234 160/160 394/396
ROB_003 Robben_Island 382/382 158/178 93/97 142/164 193/201 236/242 160/160 382/382
ROB_004 Robben_Island 392/392 166/178 99/117 142/160 187/199 232/238 156/160 392/392
ROB_005 Robben_Island 380/380 172/174 87/91 154/162 191/193 236/238 160/160 380/380
ROB_006 Robben_Island 380/394 168/182 95/99 154/166 185/193 238/238 160/160 380/394
ROB_007 Robben_Island 380/386 172/182 103/115 142/160 183/189 236/242 160/160 380/386
ROB_008 Robben_Island 382/382 166/174 107/117 140/162 185/187 NA 160/160 382/382
ROB_009 Robben_Island 380/384 168/178 87/117 158/164 195/197 234/234 160/160 380/384
ROB_010 Robben_Island 394/394 166/182 99/99 146/162 193/201 236/238 160/184 394/394
ROB_011 Robben_Island 382/394 166/186 93/97 134/160 197/197 228/234 160/160 382/394
ROB_012 Robben_Island 392/394 166/178 99/125 148/158 187/193 236/236 160/160 392/394
ROB_013 Robben_Island 392/394 172/182 95/121 160/162 185/185 228/238 160/160 392/394
ROB_014 Robben_Island 380/392 168/182 87/117 142/158 197/201 228/230 160/160 380/392
ROB_015 Robben_Island 388/394 166/178 91/103 160/170 185/201 236/236 160/172 388/394
ROB_017 Robben_Island 380/394 162/174 99/99 134/156 185/199 230/242 160/160 380/394
ROB_018 Robben_Island 394/394 164/178 93/103 158/162 193/195 232/240 160/182 394/394
ROB_019 Robben_Island 380/400 162/180 99/103 156/162 185/195 232/234 160/160 380/400
ROB_020 Robben_Island 380/380 172/174 91/115 142/158 189/197 236/242 160/182 380/380
ROB_021 Robben_Island NA 178/178 85/95 158/166 185/187 238/240 160/160 NA
ROB_022 Robben_Island 380/392 168/170 99/99 148/160 195/197 234/236 160/160 380/392
ROB_023 Robben_Island NA NA NA 160/166 195/201 236/238 160/160 NA
ROB_024 Robben_Island 394/394 172/176 113/117 156/160 189/201 228/228 160/160 394/394
ROB_025 Robben_Island 380/382 172/174 97/99 156/160 187/197 230/236 160/160 380/382
ROB_026 Robben_Island 394/394 162/172 93/107 162/166 187/199 236/240 160/160 394/394
ROB_027 Robben_Island 388/392 162/172 105/107 156/162 197/197 240/242 160/160 388/392
ROB_028 Robben_Island 394/398 168/168 101/107 134/160 185/187 234/236 160/160 394/398
ROB_029 Robben_Island 392/394 158/168 103/117 160/160 185/191 230/234 160/160 392/394
ROB_030 Robben_Island 388/392 162/176 95/117 158/160 195/197 232/238 160/172 388/392
ROB_031 Robben_Island 380/384 162/164 99/115 158/162 187/197 230/238 160/188 380/384
ROB_032 Robben_Island 392/394 178/182 97/101 140/158 193/195 228/246 160/184 392/394
ROB_033 Robben_Island 392/396 166/174 99/119 148/154 185/191 230/238 160/160 392/396
ROB_034 Robben_Island 380/386 158/162 91/123 158/160 189/197 238/240 160/160 380/386
ROB_035 Robben_Island 380/382 162/172 85/99 148/162 185/191 234/240 160/184 380/382
ROB_036 Robben_Island 380/384 168/176 99/99 160/162 195/199 234/238 160/160 380/384
ROB_037 Robben_Island 392/398 164/166 97/115 158/164 185/193 230/250 160/182 392/398
ROB_038 Robben_Island 394/398 172/174 93/99 158/160 177/189 238/240 160/178 394/398
ROB_039 Robben_Island 380/380 166/178 87/95 148/160 185/185 228/238 160/176 380/380
ROB_040 Robben_Island 380/380 162/172 87/117 148/158 187/191 230/232 160/160 380/380
ROB_041 Robben_Island 394/394 172/174 117/119 162/164 185/207 228/230 160/160 394/394
ROB_042 Robben_Island 382/384 172/182 91/95 162/170 181/185 236/238 160/160 382/384
ROB_043 Robben_Island 392/394 172/174 99/125 140/158 185/189 232/238 160/160 392/394
ROB_044 Robben_Island 382/394 164/168 91/91 156/162 179/189 234/236 160/176 382/394
ROB_045 Robben_Island 382/394 168/172 99/101 156/164 179/189 234/242 160/160 382/394
ROB_046 Robben_Island 382/394 162/166 97/105 142/162 191/195 236/236 160/160 382/394
ROB_047 Robben_Island 394/396 168/172 91/99 134/166 185/195 240/242 160/160 394/396
ROB_048 Robben_Island NA 174/174 103/115 156/162 185/199 234/238 160/160 NA
ROB_049 Robben_Island 380/394 178/178 99/115 140/144 187/195 230/234 160/176 380/394
ROB_050 Robben_Island 386/394 162/180 99/99 162/164 189/191 230/234 160/184 386/394
SMI_001 San_Miguel_Island 380/380 164/174 91/121 160/164 183/189 NA 160/160 380/380
SMI_002 San_Miguel_Island 392/394 160/172 99/99 160/160 189/195 230/238 160/178 392/394
SMI_003 San_Miguel_Island 380/396 152/172 95/117 142/162 185/189 234/246 160/184 380/396
SMI_004 San_Miguel_Island 382/394 168/172 107/117 144/164 185/187 238/240 160/184 382/394
SMI_005 San_Miguel_Island 382/386 164/168 85/111 150/162 195/197 234/234 160/160 382/386
SMI_006 San_Miguel_Island 384/396 166/174 91/111 158/160 197/201 NA 160/160 384/396
SMI_007 San_Miguel_Island 378/392 166/172 87/99 142/166 189/193 238/242 178/184 378/392
SMI_008 San_Miguel_Island 382/392 174/180 99/113 160/160 187/193 230/242 160/184 382/392
SMI_009 San_Miguel_Island 392/394 162/182 91/113 154/166 185/193 232/234 160/174 392/394
