id pop L_Hg14 L_Hg23 L_Hg36 L_Hg42 L_Hg610 L_Hg89 L_Hg810 L_Hgdii L_Hgl15 L_Pvc19 L_Pvc26 L_Pvc30 L_Pvc78 L_SGPv9 L_SGPv10 L_SGPv11 L_SGPv16
1420_F_S_y1993 Lake_Saimaa 124/124 98/104 134/161 148/152 202/202 186/186 200/200 137/161 112/118 109/109 171/181 149/149 161/161 133/145 156/156 123/123 124/124
1488_M_S_y1994 Lake_Saimaa 124/124 104/104 134/134 148/148 194/202 186/186 200/200 159/161 108/118 109/109 181/181 149/149 161/161 133/145 156/156 123/123 124/124
2259_F_S_y2001 Lake_Saimaa 124/124 100/104 134/134 152/152 202/202 186/186 200/200 137/137 118/118 109/111 181/181 149/149 161/161 145/145 156/157 123/123 124/124
2332_F_S_y2003 Lake_Saimaa 124/124 100/104 134/134 152/152 202/202 186/186 200/200 137/153 112/118 109/109 181/181 149/149 161/161 145/145 156/156 123/123 124/124
2353_F_S_y2004 Lake_Saimaa 124/124 100/104 134/161 152/152 194/202 186/188 200/200 137/151 118/118 109/109 171/181 149/149 161/161 133/133 156/157 123/123 124/124
2354_M_S_y2004 Lake_Saimaa 124/124 104/104 134/134 152/152 202/202 186/188 200/200 137/137 118/118 109/109 181/181 149/149 161/161 145/145 156/157 123/123 124/124
2357_M_S_y2004 Lake_Saimaa 124/124 100/104 134/161 148/152 194/200 186/188 200/200 137/137 112/118 109/109 181/181 149/149 161/161 145/145 156/169 123/123 124/124
2411_M_S_y2006 Lake_Saimaa 124/124 100/104 134/134 148/152 202/202 186/188 200/200 137/153 112/112 109/111 171/181 149/149 161/161 145/145 157/169 123/123 124/124
2436_M_S_y2007 Lake_Saimaa 124/124 100/104 134/134 152/152 202/202 186/188 200/200 137/155 118/118 109/109 181/181 149/149 161/161 133/145 156/156 123/123 124/124
2449_F_S_y2007 Lake_Saimaa 124/124 104/104 134/161 148/152 194/200 188/188 200/200 129/137 112/118 109/109 171/177 149/149 161/161 133/145 156/156 123/123 124/124
2466_M_S_y2008 Lake_Saimaa 124/124 104/104 134/161 152/152 202/202 186/186 200/200 137/137 118/118 109/109 181/181 149/149 161/161 145/145 156/169 123/123 124/124
